scraped_at,origin,destination,departure_date,return_date,lowest_price,outbound_airline,inbound_airline,outbound_flight_number,inbound_flight_number,outbound_stops,inbound_stops,outbound_baggage,inbound_baggage,outbound_time,inbound_time,outbound_duration,inbound_duration,url
2026-08-28 17:55:04:620,TPE,NRT,2026-08-29,2026-09-05,"台幣 $9,754(含稅)",泰國獅航,泰國獅航,SL 394,SL 395,直達,直達,行李額度未明,行李額度未明,PM 12:10 ~ PM 4:30,PM 5:40 ~ PM 8:20,3 小時 20 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-08-29%20through%202026-09-05&hl=zh-TW&curr=TWD
2026-08-28 17:55:23:710,TPE,NRT,2026-08-30,2026-09-06,"台幣 $13,034(含稅)",國泰航空,國泰航空,CX 450,CX 451,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,PM 1:00 ~ PM 5:15,PM 3:45 ~ PM 6:25,3 小時 15 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-08-30%20through%202026-09-06&hl=zh-TW&curr=TWD
